permeabiliy
-7 0 0 1e-12 1e-12 1e-12
-8 0 0 1e-12 1e-12 1e-12
-9 0 0 1e-12 1e-12 1e-12
-10 0 0 1e-12 1e-12 1e-12
-11 0 0 1e-12 1e-12 1e-12
-12 0 0 1e-12 1e-12 1e-12
-13 0 0 1e-12 1e-12 1e-12
-14 0 0 1e-12 1e-12 1e-12
-15 0 0 1e-12 1e-12 1e-12
-16 0 0 1e-12 1e-12 1e-12
-17 0 0 1e-12 1e-12 1e-12
-18 0 0 1e-12 1e-12 1e-12
-19 0 0 1e-12 1e-12 1e-12
-20 0 0 1e-12 1e-12 1e-12
-21 0 0 1e-12 1e-12 1e-12
-22 0 0 1e-12 1e-12 1e-12
-23 0 0 1e-12 1e-12 1e-12
-24 0 0 1e-12 1e-12 1e-12
-25 0 0 1e-12 1e-12 1e-12
-26 0 0 1e-12 1e-12 1e-12
