nPolygons: 20
6 {-5, -5, 1.03400112956} {-3.1730057008, -5, -5} {5, 3.97191706635, -5} {5, 5, -1.90690758371} {2.90870427274, 5, 5} {-5, -3.68178017181, 5} 
4 {2.59987600276, -5, -5} {-5, 2.49093828482, -5} {-5, 3.93506704271, 5} {4.0650061473, -5, 5} 
4 {5, 2.86303571229, 5} {1.67418391065, 5, 5} {-3.05844071372, 5, -5} {5, -0.177856970202, -5} 
4 {-4.00977740799, -5, 5} {-4.30337430022, 2.14680089524, 5} {-1.12647882165, 2.65219220247, -3.53965998659} {-0.701714079537, -5, -3.83450992624} 
4 {5, -5, 2.55375986974} {5, -0.458795596208, -1.74449554563} {0.728670776811, -1.59579399265, -5} {-0.366886530894, -5, -2.88895033309} 
5 {2.68734554814, 2.29982341976, 3.64360110699} {2.03863814912, 1.61362338993, 5} {-2.48145707564, -5, 5} {-1.89987734582, -5, 0.610710463772} {-0.980529366263, -4.02751747254, -1.31157774141} 
4 {-0.857042142782, -5, -5} {-5, -2.07343839768, -5} {-5, -4.58488696812, 0.337211394717} {-3.91953249463, -5, -0.40260309417} 
6 {5, -0.673688291481, 5} {5, 1.60276416908, 1.80599248828} {1.79344207027, 0.217733620822, -1.53462041555} {-0.184352698019, -5, 2.52709949806} {0.296790476535, -5, 3.31994712519} {1.90942475149, -4.30344382265, 5} 
4 {-2.7365675756, 3.5188788367, 0.980909838914} {-4.05529964815, 3.81543664754, 5} {-3.36190602093, -3.01558180033, 5} {-2.25881951085, -3.26364501758, 1.6381312537} 
4 {-5, -5, 1.80523289417} {-2.80990458285, -5, -0.549396294199} {-2.85033232748, 0.592760684038, -0.642218748462} {-5, 0.615570551167, 1.66838966524} 
5 {4.61361518409, 5, 3.49619249156} {5, 5, 1.10708933143} {5, 4.12672681872, -2.52110416292} {2.13266645508, 0.561123024069, 0.394220015709} {3.32274129614, 3.40629825935, 4.85659004355} 
4 {5, -2.28966945917, 0.99453160799} {2.32922777603, 0.614141846516, 4.61223537732} {2.61494984187, 0.311879338401, 5} {5, -2.24629361117, 5} 
5 {-1.89450493583, 1.18287368558, -0.718821607898} {-4.48227392589, 3.44516551582, -3.41661048343} {-3.43653502951, 2.75315933221, -5} {-0.453077670361, 0.403447173326, -5} {0.367786894412, -0.314172987421, -4.14423609694} 
4 {4.74031702872, 4.2675274695, -1.95725132193} {4.02771645772, 1.7983778624, -4.97364877022} {1.55856685062, -0.288504066075, -2.6820604659} {2.27116742162, 2.18064554103, 0.334336982385} 
4 {1.30895777239, 3.84512858879, -5} {-2.19554428564, 3.63630060464, -5} {-2.32986421862, 3.32333565893, -2.45560136952} {1.1637111652, 3.50670453269, -2.2486193209} 
4 {-0.771584002495, 2.44249141871, -0.285606189468} {0.88483814924, 3.779101733, 2.15875928657} {2.22144846352, 0.902708176854, 2.8258552582} {0.56502631179, -0.433902137431, 0.381489782166} 
5 {0.304682599785, -0.637146792656, -4.76382660668} {-0.540205350106, -0.95723613414, -5} {-2.0027742768, -1.36371365997, -5} {-2.68485386585, -0.899424598881, -3.18918278716} {-0.516722903749, -0.0780190953472, -2.58312035421} 
4 {0.785154019811, 3.1836875656, 2.88489250723} {-0.219362061779, 2.98774658848, 4.87979057599} {-0.415303038898, 0.77665729201, 4.56395044878} {0.589213042693, 0.972598269129, 2.56905238002} 
5 {-5, -5, 4.53436810447} {-2.67489489205, -5, -0.634790478329} {-0.53964584466, -1.18114669958, 3.57461180994} {-1.98545495854, -1.94390702228, 5} {-5, -4.80146429507, 5} 
4 {2.91175701607, -0.577909465774, -2.58332041687} {1.20761303838, -0.633087798288, -4.57859468699} {1.15243470587, -3.25433139793, -4.45897821242} {2.85657868356, -3.19915306542, -2.4637039423} 
